time,value
2026-08-24T05:48:54.701Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:48:55.701Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:48:56.703Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:48:57.704Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:48:58.705Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:48:59.707Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:00.709Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:01.71Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:02.712Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:03.713Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:04.715Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:05.718Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:06.718Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:07.72Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:08.722Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:09.723Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:10.724Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:11.726Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:12.727Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:13.729Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:14.731Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:15.732Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:16.734Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:17.735Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:18.737Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:19.738Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:20.74Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:21.742Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:22.743Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:23.745Z,"{""lat"":-37.78056422436292,""lon"":145.16444547317948}"
2026-08-24T05:49:24.746Z,"{""lat"":-37.78054604731255,""lon"":145.1644320927998}"
2026-08-24T05:49:25.748Z,"{""lat"":-37.78054604731255,""lon"":145.1644320927998}"
2026-08-24T05:49:26.749Z,"{""lat"":-37.78054604731255,""lon"":145.1644320927998}"
2026-08-24T05:49:27.751Z,"{""lat"":-37.78054604731255,""lon"":145.1644320927998}"
2026-08-24T05:49:28.753Z,"{""lat"":-37.78052495053103,""lon"":145.16455176560208}"
2026-08-24T05:49:29.754Z,"{""lat"":-37.78050701779661,""lon"":145.16453129753071}"
2026-08-24T05:49:30.755Z,"{""lat"":-37.78051027586643,""lon"":145.16451775293774}"
2026-08-24T05:49:31.757Z,"{""lat"":-37.78050918423866,""lon"":145.16452594554457}"
2026-08-24T05:49:32.758Z,"{""lat"":-37.78051072261152,""lon"":145.16452645970517}"
2026-08-24T05:49:33.76Z,"{""lat"":-37.780508150579514,""lon"":145.1645223295805}"
2026-08-24T05:49:34.761Z,"{""lat"":-37.78050864367718,""lon"":145.1645314068782}"
2026-08-24T05:49:35.763Z,"{""lat"":-37.78050437168722,""lon"":145.1645310198715}"
2026-08-24T05:49:36.765Z,"{""lat"":-37.78050107500379,""lon"":145.1645365191145}"
2026-08-24T05:49:37.766Z,"{""lat"":-37.78050777575579,""lon"":145.16452789628977}"
